input_file,input_size_bytes,protocol,window,impairment_path,probability,elapsed_ms,frames_sent,retransmissions,acks_received,timeouts,unique_payload_bytes,transmitted_frame_bytes,efficiency,goodput_bytes_per_second
medium.bin,1200,go-back-n,8,data-error,0.2,436.848,123,96,27,13,1200,7749,0.154859,2746.951
medium.bin,1200,go-back-n,8,data-error,0.3,477.925,157,130,27,18,1200,9891,0.121322,2510.854
medium.bin,1200,go-back-n,8,data-error,0.4,512.889,145,118,27,18,1200,9135,0.131363,2339.688
medium.bin,1200,go-back-n,8,data-error,0.5,2176.4,184,157,27,25,1200,11592,0.10352,551.369
medium.bin,1200,go-back-n,8,data-loss,0.1,73.8112,43,16,27,3,1200,2709,0.442968,16257.695
medium.bin,1200,go-back-n,8,data-loss,0.2,70.3781,47,20,27,3,1200,2961,0.405268,17050.759
medium.bin,1200,go-back-n,8,data-loss,0.3,625.974,116,89,27,13,1200,7308,0.164204,1917.013
medium.bin,1200,go-back-n,8,data-loss,0.4,501.076,150,123,27,20,1200,9450,0.126984,2394.846
medium.bin,1200,go-back-n,8,data-loss,0.5,865.859,297,270,27,36,1200,18711,0.064133,1385.907
medium.bin,1200,go-back-n,8,ack-error,0.1,24.8044,28,1,24,1,1200,1764,0.680272,48378.513
medium.bin,1200,go-back-n,8,ack-error,0.2,23.6492,29,2,22,1,1200,1827,0.656814,50741.674
medium.bin,1200,go-back-n,8,ack-error,0.3,165.059,59,32,21,4,1200,3717,0.322841,7270.128
medium.bin,1200,go-back-n,8,ack-error,0.4,22.1798,30,3,18,1,1200,1890,0.634921,54103.283
medium.bin,1200,go-back-n,8,ack-error,0.5,71.2849,46,19,16,3,1200,2898,0.414079,16833.86
medium.bin,1200,go-back-n,8,ack-loss,0.1,166.078,57,30,23,4,1200,3591,0.334169,7225.521
medium.bin,1200,go-back-n,8,ack-loss,0.2,21.0738,31,4,24,1,1200,1953,0.614439,56942.744
medium.bin,1200,go-back-n,8,ack-loss,0.3,85.3798,38,11,15,2,1200,2394,0.501253,14054.847
medium.bin,1200,go-back-n,8,ack-loss,0.4,130.786,51,24,16,3,1200,3213,0.373483,9175.294
medium.bin,1200,go-back-n,8,ack-loss,0.5,133.39,49,22,12,3,1200,3087,0.388727,8996.177
medium.bin,1200,selective-repeat,8,baseline,0.0,25.6683,30,3,27,1,1200,1890,0.634921,46750.272
medium.bin,1200,selective-repeat,8,data-error,0.1,48.2987,31,4,27,2,1200,1953,0.614439,24845.389
medium.bin,1200,selective-repeat,8,data-error,0.2,209.757,64,37,27,6,1200,4032,0.297619,5720.906
medium.bin,1200,selective-repeat,8,data-error,0.3,150.657,58,31,27,6,1200,3654,0.328407,7965.113
medium.bin,1200,selective-repeat,8,data-error,0.4,291.539,69,42,27,8,1200,4347,0.276052,4116.087
medium.bin,1200,selective-repeat,8,data-error,0.5,186.627,53,26,27,7,1200,3339,0.359389,6429.938
medium.bin,1200,selective-repeat,8,data-loss,0.1,23.7461,33,6,27,1,1200,2079,0.577201,50534.614
medium.bin,1200,selective-repeat,8,data-loss,0.2,26.6714,32,5,27,1,1200,2016,0.595238,44992.014
medium.bin,1200,selective-repeat,8,data-loss,0.3,146.166,46,19,27,6,1200,2898,0.414079,8209.844
medium.bin,1200,selective-repeat,8,data-loss,0.4,154.152,47,20,27,6,1200,2961,0.405268,7784.524
medium.bin,1200,selective-repeat,8,data-loss,0.5,285.872,59,32,27,11,1200,3717,0.322841,4197.683
medium.bin,1200,selective-repeat,8,ack-error,0.1,93.9719,49,22,27,3,1200,3087,0.388727,12769.775
medium.bin,1200,selective-repeat,8,ack-error,0.2,290.471,51,24,27,12,1200,3213,0.373483,4131.221
medium.bin,1200,selective-repeat,8,ack-error,0.3,222.687,92,65,27,6,1200,5796,0.207039,5388.729
medium.bin,1200,selective-repeat,8,ack-error,0.4,166.356,53,26,27,7,1200,3339,0.359389,7213.446
medium.bin,1200,selective-repeat,8,ack-error,0.5,372.555,100,73,27,12,1200,6300,0.190476,3221.001
medium.bin,1200,selective-repeat,8,ack-loss,0.1,133.811,58,31,27,4,1200,3654,0.328407,8967.873
medium.bin,1200,selective-repeat,8,ack-loss,0.2,142.333,52,25,27,4,1200,3276,0.3663,8430.933
medium.bin,1200,selective-repeat,8,ack-loss,0.3,160.957,55,28,27,5,1200,3465,0.34632,7455.407
medium.bin,1200,selective-repeat,8,ack-loss,0.4,234.118,58,31,27,9,1200,3654,0.328407,5125.62
medium.bin,1200,selective-repeat,8,ack-loss,0.5,230.816,59,32,27,7,1200,3717,0.322841,5198.946
tiny.txt,47,stop-and-wait,1,baseline,0.0,0.340127,2,0,2,0,47,126,0.373016,138183.678
tiny.txt,47,stop-and-wait,1,data-error,0.1,0.334211,2,0,2,0,47,126,0.373016,140629.722
tiny.txt,47,stop-and-wait,1,data-error,0.2,315.815,3,1,2,1,47,189,0.248677,148.821
tiny.txt,47,stop-and-wait,1,data-error,0.3,303.305,3,1,2,1,47,189,0.248677,154.96
tiny.txt,47,stop-and-wait,1,data-error,0.4,1314.18,7,5,2,5,47,441,0.106576,35.764
tiny.txt,47,stop-and-wait,1,data-error,0.5,321.27,3,1,2,1,47,189,0.248677,146.294
tiny.txt,47,stop-and-wait,1,data-loss,0.1,0.343826,2,0,2,0,47,126,0.373016,136697.05
tiny.txt,47,stop-and-wait,1,data-loss,0.2,0.358257,2,0,2,0,47,126,0.373016,131190.737
tiny.txt,47,stop-and-wait,1,data-loss,0.3,24.8412,3,1,2,1,47,189,0.248677,1892.018
tiny.txt,47,stop-and-wait,1,data-loss,0.4,28.4709,3,1,2,1,47,189,0.248677,1650.808
tiny.txt,47,stop-and-wait,1,data-loss,0.5,22.0174,3,1,2,1,47,189,0.248677,2134.675
tiny.txt,47,stop-and-wait,1,ack-error,0.1,1.75435,2,0,2,0,47,126,0.373016,26790.549
tiny.txt,47,stop-and-wait,1,ack-error,0.2,1.19521,2,0,2,0,47,126,0.373016,39323.634
tiny.txt,47,stop-and-wait,1,ack-error,0.3,0.394754,3,0,2,0,47,189,0.248677,119061.491
tiny.txt,47,stop-and-wait,1,ack-error,0.4,0.33109,2,0,2,0,47,126,0.373016,141955.36
tiny.txt,47,stop-and-wait,1,ack-error,0.5,1.17542,8,0,2,0,47,504,0.093254,39985.707
tiny.txt,47,stop-and-wait,1,ack-loss,0.1,317.279,3,1,2,1,47,189,0.248677,148.135
tiny.txt,47,stop-and-wait,1,ack-loss,0.2,1.93435,2,0,2,0,47,126,0.373016,24297.568
tiny.txt,47,stop-and-wait,1,ack-loss,0.3,0.561807,2,0,2,0,47,126,0.373016,83658.623
tiny.txt,47,stop-and-wait,1,ack-loss,0.4,0.412372,2,0,2,0,47,126,0.373016,113974.761
tiny.txt,47,stop-and-wait,1,ack-loss,0.5,322.19,3,1,2,1,47,189,0.248677,145.877
tiny.txt,47,go-back-n,8,baseline,0.0,0.392021,2,0,2,0,47,126,0.373016,119891.536
tiny.txt,47,go-back-n,8,data-error,0.1,1.0713,2,0,2,0,47,126,0.373016,43871.931
tiny.txt,47,go-back-n,8,data-error,0.2,313.483,4,2,2,1,47,252,0.186508,149.928
tiny.txt,47,go-back-n,8,data-error,0.3,307.795,4,2,2,1,47,252,0.186508,152.699
